Nutrient,DV
Calcium,1300mg
Dietary Fiber,28g
Fat,78g
Magnesium,420mg
Manganese,2.3mg
Phosphorus,1250mg
Potassium,4700mg
Vitamin C,90mg
Vitamin D,20mcg
Vitamin K,120mcg
Biotin,30mcg
Chloride,2300mg
Chromium,35mcg
Copper,0.9mg
Folate/Folic Acid,400mcg
Molybdenum,45mcg
Niacin,16mg
Pantothenic Acid,5mg
Riboflavin,1.3mg
Selenium,55mcg
Sodium,2300mg
Thiamin,1.2mg
Total carbohydrate,275g
Vitamin A,900mcg
Vitamin B6,1.7mg
Vitamin B12,2.4mcg
Vitamin E,15mg alpha-tocopherol
Zinc,11mg
Added sugars,50g
Choline,550mg
Cholesterol,300mg
Iodine,150mcg
Iron,18mg
Protein,50g
Saturated fat,20g
